,Date,Description,Location
269,1/30/2022 21:22,Lost/found property,9400 BLOCK JEFF FUQUA BLVD
270,1/30/2022 21:12,General disturbance,2300 BLOCK W JACKSON ST
271,1/30/2022 21:10,Man down,6500 BLOCK INTERNATIONAL DR
272,1/30/2022 21:09,Suspicious incident,N HUGHEY AVE / W ROBINSON ST
273,1/30/2022 21:04,Battery - shooting,3400 BLOCK WELLS ST
274,1/30/2022 20:50,Suspicious incident,2400 BLOCK AMERICANA BLVD
275,1/30/2022 20:50,Battery,NOT AVAILABLE
276,1/30/2022 20:17,Accident (minor),9300 BLOCK JEFF FUQUA BLVD
277,1/30/2022 19:28,Battery,S WESTMORELAND DR / CARTER ST
278,1/30/2022 19:14,Suspicious incident,7100 BLOCK NARCOOSSEE RD
279,1/30/2022 18:20,Battery,5300 BLOCK KALMIA DR
280,1/31/2022 20:17,Threats/assaults - armed,4600 BLOCK COLLEGE DR
281,1/31/2022 20:13,Accident (minor),DADE AVE / E PRINCETON ST
282,1/31/2022 20:11,House/business check,400 BLOCK E MICHIGAN ST
283,1/31/2022 20:03,Theft,4600 BLOCK MILLENIA PLAZA WAY
284,1/31/2022 20:03,House/business check,1400 BLOCK MERCY DR
285,1/31/2022 19:58,Vandalism/criminal mischief,5300 BLOCK CURRY FORD RD
286,1/31/2022 19:53,Hit and run (injuries),1 BLOCK
287,1/31/2022 19:44,Vehicle B&E,1800 BLOCK MERCY DR
288,1/31/2022 19:43,Direct traffic,4900 BLOCK INTERNATIONAL DR
289,1/31/2022 19:42,Accident (injuries),NEBRASKA ST / N HAMPTON AVE
290,1/31/2022 19:33,Theft,4900 BLOCK INTERNATIONAL DR
291,1/31/2022 19:25,Accident (minor),S CHICKASAW TRL / LEEVISTA BLVD
292,1/31/2022 19:11,Accident (injuries),N MAGNOLIA AVE / E CONCORD ST
293,1/31/2022 19:10,General investigation,9400 BLOCK JEFF FUQUA BLVD
294,1/31/2022 19:09,Drug violation,400 BLOCK W CHURCH ST
295,1/31/2022 19:01,Vehicle B&E,4900 BLOCK INTERNATIONAL DR
296,1/31/2022 18:56,Theft,6000 BLOCK UNIVERSAL BLVD
297,1/31/2022 18:45,Drug violation,W COLONIAL DR / N WESTMORELAND DR
298,1/31/2022 18:38,General disturbance,4400 BLOCK EVERS PL
299,1/31/2022 18:26,Suspicious incident,4900 BLOCK EAGLESMERE DR
300,1/31/2022 18:25,Battery,5800 BLOCK LA COSTA DR
301,1/31/2022 18:01,Battery,4200 BLOCK EASTGATE DR
302,1/31/2022 17:46,Theft,1800 BLOCK E COLONIAL DR
303,2/1/2022 17:01,Accident (minor),S ORANGE BLOSSOM TRL / W JACKSON ST
304,2/1/2022 16:53,Accident (minor),1 BLOCK
305,2/1/2022 16:50,Illegally parked cars,1400 BLOCK W CENTRAL BLVD
306,2/1/2022 16:49,Theft by shoplifting,1500 BLOCK MEETING PL
307,2/1/2022 16:49,Suspicious person,N ORANGE BLOSSOM TRL / W COLONIAL DR
308,2/1/2022 16:48,Residential B&E,900 BLOCK W COLONIAL DR
309,2/1/2022 16:43,Vandalism/criminal mischief,1000 BLOCK W SMITH ST
310,2/1/2022 16:43,Unknown trouble,6400 BLOCK RALEIGH ST
311,2/1/2022 16:42,Theft,5400 BLOCK MILLENIA LAKES BLVD
312,2/1/2022 16:35,Theft by shoplifting,4900 BLOCK INTERNATIONAL DR
313,2/1/2022 16:32,Signal out,E LIVINGSTON ST / N HAMPTON AVE
314,2/1/2022 16:26,Trespasser,1900 BLOCK BRUTON BLVD
315,2/1/2022 16:12,Accident (minor),RIDGEWOOD ST / N SUMMERLIN AVE
316,2/1/2022 16:12,Fraud-counterfeit,5200 BLOCK INTERNATIONAL DR
317,2/1/2022 15:55,General disturbance - armed,E COLONIAL DR / BENNETT RD
318,2/1/2022 15:50,Lost/found property,8500 BLOCK INSULAR LN
319,2/1/2022 15:50,Theft by shoplifting,3100 BLOCK W PRINCETON ST
320,2/1/2022 15:33,Suspicious person,4600 BLOCK MILLENIA PLAZA WAY
321,2/1/2022 15:32,Accident (injuries),E MARKS ST / N MILLS AVE
322,2/1/2022 15:24,Suspicious person,9300 BLOCK JEFF FUQUA BLVD
323,2/1/2022 15:21,House/business check,4100 BLOCK PRINCE HALL BLVD
324,2/1/2022 15:16,Commercial B&E,5500 BLOCK S KIRKMAN RD
325,2/1/2022 14:48,Accident (injuries),NEBRASKA ST / N MILLS AVE
326,2/1/2022 14:44,Sick or injured person,Restricted Address
327,2/1/2022 14:36,Theft,800 BLOCK N MAGNOLIA AVE
328,2/1/2022 14:18,Suspicious incident,3900 BLOCK W COLONIAL DR
329,2/1/2022 11:09,Officer with prisoner,9300 BLOCK JEFF FUQUA BLVD
330,2/1/2022 10:25,Suspicious person,5100 BLOCK NORTH LN
331,2/1/2022 9:32,General investigation,W CHURCH ST & S TERRY AVE
332,2/1/2022 21:21,Suspicious vehicle,6000 BLOCK LAKE UNDERHILL RD
